,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,lognorm,2.1075120058391133e-05,-1.8794137380056708,66.1134060121121,"(1.3412016169315202,)","(1.3412016169315202, -1.8794137380056708, 66.1134060121121)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e3f9f1190>,0,,#e41a1c
1,pareto,4.3136039767886644e-05,-1690.7801706031753,1691.780170603175,"(14.216984792694287,)","(14.216984792694287, -1690.7801706031753, 1691.780170603175)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e3f9afe90>,0,,#ff7f00
2,uniform,0.0002251556753576568,1.0,498.0,(),"(1.0, 498.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e3f9ee650>,0,,#999999
