,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,lognorm,0.0003277292491801581,-1.746308333240907,65.10630088322583,"(1.3528303172691376,)","(1.3528303172691376, -1.746308333240907, 65.10630088322583)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7e0ef59481d0>,0,,#e41a1c
1,pareto,0.00037660471026689527,-1374.0230570746116,1375.0230570746114,"(11.790848279223084,)","(11.790848279223084, -1374.0230570746116, 1375.0230570746114)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7e0dbc0df190>,0,,#ff7f00
2,uniform,0.001455960515844445,1.0,498.0,(),"(1.0, 498.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x7e0ef66cbe10>,0,,#999999
