,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,lognorm,3.101151030372e-05,-1.6119922761791177,64.2202027878668,"(1.3621552775538572,)","(1.3621552775538572, -1.6119922761791177, 64.2202027878668)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e7d1d7b10>,0,,#e41a1c
1,pareto,5.914380475849597e-05,-1151.2052382666848,1152.2052382666845,"(10.072057940165907,)","(10.072057940165907, -1151.2052382666848, 1152.2052382666845)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e7d1e4ad0>,0,,#ff7f00
2,uniform,0.00032082468915348313,1.0,498.0,(),"(1.0, 498.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e7d1f2b50>,0,,#999999
