,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,lognorm,3.9645437425761336e-06,-1.1720198765364163,59.042435837663156,"(1.384327808894199,)","(1.384327808894199, -1.1720198765364163, 59.042435837663156)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e6b66e2d0>,0,,#e41a1c
1,pareto,1.1376275002841336e-05,-582.2349868614597,583.2349868614596,"(5.813196227711894,)","(5.813196227711894, -582.2349868614597, 583.2349868614596)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e6b7f18d0>,0,,#ff7f00
2,uniform,0.00011291166764885786,1.0,497.0,(),"(1.0, 497.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e6b7d6650>,0,,#999999
