,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,lognorm,1.1955248246240774e-05,-1.6891555810019825,65.55132599943384,"(1.3476409727638914,)","(1.3476409727638914, -1.6891555810019825, 65.55132599943384)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e7392ed50>,0,,#e41a1c
1,pareto,2.8574884508081952e-05,-1079.058135469409,1080.0581354694089,"(9.395316118585791,)","(9.395316118585791, -1079.058135469409, 1080.0581354694089)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e73b77090>,0,,#ff7f00
2,uniform,0.00018092606733667495,1.0,498.0,(),"(1.0, 498.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e73b56650>,0,,#999999
