,name,score,loc,scale,arg,params,model,bootstrap_score,bootstrap_pass,color
0,lognorm,0.0002334479975117093,-1.7775874081396945,65.28913763633783,"(1.3499958952872404,)","(1.3499958952872404, -1.7775874081396945, 65.28913763633783)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e3fa0f8d0>,0,,#e41a1c
1,pareto,0.00027010199923927446,-1438.236202598378,1439.2362025983778,"(12.295960610876394,)","(12.295960610876394, -1438.236202598378, 1439.2362025983778)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e873d2610>,0,,#ff7f00
2,uniform,0.0010898278292723201,1.0,498.0,(),"(1.0, 498.0)",<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x706e3fa0e650>,0,,#999999
